Wall time,Step,Value
1575536501.640981,0,0.7805280089378357
1575537692.458878,1,0.847868025302887
1575538911.054758,2,0.8802040219306946
1575540111.825777,3,0.9100599884986877
1575541310.048476,4,0.9297199845314026
